,index,title,author,year,title_authors
496,496,Incorporating speaker and discourse features into speech summarization,"Gabriel Murray,Steve Renals,Jean Carletta,Johanna Moore",2006,"Incorporating speaker and discourse features into speech summarizationGabriel Murray,Steve Renals,Jean Carletta,Johanna Moore"
497,497,Data representations and generalization error in kernel based learning machines,"Nicola Ancona,Rosalia Maglietta,Ettore Stella",2006,"Data representations and generalization error in kernel based learning machinesNicola Ancona,Rosalia Maglietta,Ettore Stella"
498,498,OCP: Oracle 10g Administration II Study Guide: Exam 1Z0-043,"Doug Stuns,Tim Buterbaugh,Bob Bryla",2005,"OCP: Oracle 10g Administration II Study Guide: Exam 1Z0-043Doug Stuns,Tim Buterbaugh,Bob Bryla"
499,499,Student de-charter notice,,2007,
500,500,Exposure and Lighting for Digital Photographers Only,"Michael Meadhra,Charlotte K. Lowrie",2006,"Exposure and Lighting for Digital Photographers OnlyMichael Meadhra,Charlotte K. Lowrie"
501,501,Photoshop Cs2. Avanzado,Ben Willmore,2006,Photoshop Cs2. AvanzadoBen Willmore
502,502,Bias correction of cross-validation criterion based on Kullback-Leibler information under a general condition,"Hirokazu Yanagihara,Tetsuji Tonda,Chieko Matsumoto",2006,"Bias correction of cross-validation criterion based on Kullback-Leibler information under a general conditionHirokazu Yanagihara,Tetsuji Tonda,Chieko Matsumoto"
503,503,Two's-complement multiplication,A. E. Sheue,1979,Two's-complement multiplicationA. E. Sheue
504,504,Lightweight natural language text compression,"Nieves R. Brisaboa,Antonio Fariña,Gonzalo Navarro,José R. Paramá",2007,"Lightweight natural language text compressionNieves R. Brisaboa,Antonio Fariña,Gonzalo Navarro,José R. Paramá"
505,505,Modeling tuberculosis in areas of high HIV prevalence,"Georgina R. Hughes,Christine S. M. Currie,Elizabeth L. Corbett",2006,"Modeling tuberculosis in areas of high HIV prevalenceGeorgina R. Hughes,Christine S. M. Currie,Elizabeth L. Corbett"
506,506,"Innovative Approaches for Learning and Knowledge Sharing: First European Conference on Technology Enhanced Learning, EC-TEL 2006, Crete, Greece, October ... (Lecture Notes in Computer Science)","Wolfgang Nejdl,Klaus Tochtermann",2006,"Innovative Approaches for Learning and Knowledge Sharing: First European Conference on Technology Enhanced Learning, EC-TEL 2006, Crete, Greece, October ... (Lecture Notes in Computer Science)Wolfgang Nejdl,Klaus Tochtermann"
507,507,Network Security and Ethical Hacking,Rajat Khare,2006,Network Security and Ethical HackingRajat Khare
508,508,Outlook 2003 in Easy Steps (In Easy Steps S.),Michael Price,2004,Outlook 2003 in Easy Steps (In Easy Steps S.)Michael Price
509,509,Mechassault 2: Lone Wolf (Prima Official Game Guide),Matt Wales,2005,Mechassault 2: Lone Wolf (Prima Official Game Guide)Matt Wales
510,510,Dictionary of Information Science And Technology,Mehdi Khosrowpour,2006,Dictionary of Information Science And TechnologyMehdi Khosrowpour
511,511,AGScan: a pluggable microarray image quantification software based on the ImageJ library,"R. Cathelin,F. Lopez,Ch. Klopp",2007,"AGScan: a pluggable microarray image quantification software based on the ImageJ libraryR. Cathelin,F. Lopez,Ch. Klopp"
512,512,"ILT Series Microsoft Office Excel 2003, Basic w/ 2 CDs",,2006,
513,513,Ableton Live 5 Tips and Tricks,Martin DeLaney,2006,Ableton Live 5 Tips and TricksMartin DeLaney
514,514,"Intelligent Computing in Engineering and Architecture: 13th EG-ICE Workshop 2006, Ascona, Switzerland, June 25-30, 2006, Revised Selected Papers (Lecture Notes in Computer Science)",Ian F. C. Smith,2006,"Intelligent Computing in Engineering and Architecture: 13th EG-ICE Workshop 2006, Ascona, Switzerland, June 25-30, 2006, Revised Selected Papers (Lecture Notes in Computer Science)Ian F. C. Smith"
515,515,Editorial: Similarity-based pattern recognition,"Manuele Bicego,Vittorio Murino,Marcello Pelillo,Andrea Torsello",2006,"Editorial: Similarity-based pattern recognitionManuele Bicego,Vittorio Murino,Marcello Pelillo,Andrea Torsello"
516,516,Windows XP Step-By-Step,"Leslie Hardin,Deborah Tice",2003,"Windows XP Step-By-StepLeslie Hardin,Deborah Tice"
517,517,"Medications - A Medical Dictionary, Bibliography, and Annotated Research Guide to Internet References",,2006,
518,518,"Information Security Management Handbook on CD-ROM, 2006 Edition","Harold F. Tipton,Micki Krause",2006,"Information Security Management Handbook on CD-ROM, 2006 EditionHarold F. Tipton,Micki Krause"
519,519,"Topics in Cryptology -- CT-RSA 2006: The Cryptographers' Track at the RSA Conference 2006, San Jose, CA, USA, February 13-17, 2005, Proceedings (Lecture Notes in Computer Science)",David Pointcheval,2006,"Topics in Cryptology -- CT-RSA 2006: The Cryptographers' Track at the RSA Conference 2006, San Jose, CA, USA, February 13-17, 2005, Proceedings (Lecture Notes in Computer Science)David Pointcheval"
520,520,Tomb Raider: The Last Revelation (UK) (Prima's Official Strategy Guide),,1999,
521,521,"Beyond Cut, Copy and Paste: Dig Deeper into the World of Microsoft Word, Excel and Powerpoint",Henry Balogun,2003,"Beyond Cut, Copy and Paste: Dig Deeper into the World of Microsoft Word, Excel and PowerpointHenry Balogun"
522,522,Emerging Wireless Multimedia: Services and Technologies,"Apostolis Salkintzis,Nikos Passas",2005,"Emerging Wireless Multimedia: Services and TechnologiesApostolis Salkintzis,Nikos Passas"
523,523,Software performance in the real world: personal lessons from the performance trauma team,"Jayshankar Sankarasetty,Kevin Mobley,Libby Foster,Tad Hammer,Terri Calderone",2007,"Software performance in the real world: personal lessons from the performance trauma teamJayshankar Sankarasetty,Kevin Mobley,Libby Foster,Tad Hammer,Terri Calderone"
524,524,Grey-level hit-or-miss transforms-Part I: Unified theory,"Benoít Naegel,Nicolas Passat,Christian Ronse",2007,"Grey-level hit-or-miss transforms-Part I: Unified theoryBenoít Naegel,Nicolas Passat,Christian Ronse"
525,525,Toward HW/SW integration: a networked embedded system course in Taiwan,"Chi-Sheng Shih,Shiao-Li Tsao,Yeh-Ching Chung,Shyh-In Hwang",2007,"Toward HW/SW integration: a networked embedded system course in TaiwanChi-Sheng Shih,Shiao-Li Tsao,Yeh-Ching Chung,Shyh-In Hwang"
526,526,"Massively Multiplayer Online Role-Playing Games: The People, the Addiction and the Playing Experience",Richard V. Kelly,2004,"Massively Multiplayer Online Role-Playing Games: The People, the Addiction and the Playing ExperienceRichard V. Kelly"
527,527,Planning For The Fiber Distributed Data Interface,William E. Burr,2004,Planning For The Fiber Distributed Data InterfaceWilliam E. Burr
528,528,Human bodies,Irfan Essa,2003,Human bodiesIrfan Essa
529,529,Assessment of transport infrastructure projects by the use of Monte Carlo simulation: the CBA-DK model,"Kim Bang Salling,Steen Leleur",2006,"Assessment of transport infrastructure projects by the use of Monte Carlo simulation: the CBA-DK modelKim Bang Salling,Steen Leleur"
530,530,Unique Resources for Food and Nutrition: Guide to Good Food Recipe Multimedia Cd,"Deborah L. Bence,Velda L. Largen",2000,"Unique Resources for Food and Nutrition: Guide to Good Food Recipe Multimedia CdDeborah L. Bence,Velda L. Largen"
531,531,Microsoft Office OneNote 2003: Introductory Concepts and Techniques,"Gary B. Shelly,Thomas J. Cashman,Philip J. Pratt,Mary Z. Last",2004,"Microsoft Office OneNote 2003: Introductory Concepts and TechniquesGary B. Shelly,Thomas J. Cashman,Philip J. Pratt,Mary Z. Last"
532,532,"Pcs for Dummies (Thorndike Health, Home & Learning)",Dan Gookin,2006,"Pcs for Dummies (Thorndike Health, Home & Learning)Dan Gookin"
533,533,"PMP: Project Management Professional Study Guide, Deluxe Edition","Kim Heldman,Patti M. Jansen,Claudia M. Baca",2005,"PMP: Project Management Professional Study Guide, Deluxe EditionKim Heldman,Patti M. Jansen,Claudia M. Baca"
534,534,Rapid and Brief Communication: GACV: Geodesic-Aided C-V method,"Li Chen,Yue Zhou,Yonggang Wang,Jie Yang",2006,"Rapid and Brief Communication: GACV: Geodesic-Aided C-V methodLi Chen,Yue Zhou,Yonggang Wang,Jie Yang"
535,535,"Parallel Processing and Applied Mathematics: 6th International Conference, PPAM 2005Poznan, Poland, September 11-14, 2005 Revised Selected Papers (Lecture Notes in Computer Science)","Roman Wyrzykowski,Jack Dongarra,Norbert Meyer,Jerzy Wasniewski",2006,"Parallel Processing and Applied Mathematics: 6th International Conference, PPAM 2005Poznan, Poland, September 11-14, 2005 Revised Selected Papers (Lecture Notes in Computer Science)Roman Wyrzykowski,Jack Dongarra,Norbert Meyer,Jerzy Wasniewski"
536,536,Easy Office 2003,Nancy Lewis,2003,Easy Office 2003Nancy Lewis
537,537,Marketing Research: The Impact of the Internet,,2006,
538,538,The Lord of the Rings: The Battle for Middle-earth II (Xbox 360) (Prima Official Game Guide),Eric Mylonas,2006,The Lord of the Rings: The Battle for Middle-earth II (Xbox 360) (Prima Official Game Guide)Eric Mylonas
539,539,Pac-Man World(tm) 3 Official Strategy Guide (Official Strategy Guides (Bradygames)),,2005,
540,540,Directory of Special Libraries and Information Centers: Geographic and Personnel Index (Directory of Special Libraries and Information Centers Vol 2),,2004,
541,541,Labview(TM) 7.0 Express Student Edition with 7.1 Update,Robert Bishop,2005,Labview(TM) 7.0 Express Student Edition with 7.1 UpdateRobert Bishop
542,542,"Subject Retrieval in a Networked World: Proceedings of the Ifla Satellite Meeting Held in Dublin, Oh, 14-16 August 2001 and Sponsored by the Ifla Classification ... the (Ubcim Publications New Series Vol 25)",I. C. McLlwaine,2003,"Subject Retrieval in a Networked World: Proceedings of the Ifla Satellite Meeting Held in Dublin, Oh, 14-16 August 2001 and Sponsored by the Ifla Classification ... the (Ubcim Publications New Series Vol 25)I. C. McLlwaine"
543,543,Milady's Standard Comprehension Training for Estheticians Workbook,,2006,
544,544,Learning Series (DDC): Learning Microsoft Office Publisher 2003 (DDC Learning),Faithe Wempen,2004,Learning Series (DDC): Learning Microsoft Office Publisher 2003 (DDC Learning)Faithe Wempen
545,545,Project Management,"Samuel E. Portny,Samuel J. Mantel, Jr.,Jack R. Meredith,Scott M. Shafer,Margaret M. Sutton,Brian E. Kramer",2007,"Project ManagementSamuel E. Portny,Samuel J. Mantel, Jr.,Jack R. Meredith,Scott M. Shafer,Margaret M. Sutton,Brian E. Kramer"
546,546,Game Programming for Teens (Game Programming),Maneesh Sethi,2003,Game Programming for Teens (Game Programming)Maneesh Sethi
547,547,Storybook Weaver: MacIntosh/Book and Disk/Hmc 21835,,1989,
548,548,Maran Illustrated Sudoku (Maran Illustrated),Ruth Maran,2006,Maran Illustrated Sudoku (Maran Illustrated)Ruth Maran
549,549,Why Relevant Features May Be Unuseful in Statistical Recognition of Two Classes,L. S. Fainzilberg,1996,Why Relevant Features May Be Unuseful in Statistical Recognition of Two ClassesL. S. Fainzilberg
550,550,Adobe Premiere Pro for Dummies,Keith Underdahl,2003,Adobe Premiere Pro for DummiesKeith Underdahl
551,551,"Refinement Techniques in Software Engineering: First Pernambuco Summer School on Software Engineering, PSSE 2004Recife, Brazil, November 23-December 5, ... Lectures (Lecture Notes in Computer Science)","Ana Cavalcanti,Augusto Sampaio,Jim Woodcock",2006,"Refinement Techniques in Software Engineering: First Pernambuco Summer School on Software Engineering, PSSE 2004Recife, Brazil, November 23-December 5, ... Lectures (Lecture Notes in Computer Science)Ana Cavalcanti,Augusto Sampaio,Jim Woodcock"
552,552,Microsoft Office for Teachers (2nd Edition),"Patricia J. Fewell,William J. Gibbs",2005,"Microsoft Office for Teachers (2nd Edition)Patricia J. Fewell,William J. Gibbs"
553,553,A UML profile for dependability analysis of real-time embedded systems,"Simona Bernardi,José Merseguer",2007,"A UML profile for dependability analysis of real-time embedded systemsSimona Bernardi,José Merseguer"
554,554,Microsoft Project 2002 and 2003 (Microsoft Official Academic Course),,2004,
555,555,The Debian System: Concepts and Techniques,Martin F Krafft,2005,The Debian System: Concepts and TechniquesMartin F Krafft
556,556,User Interfaces in the Real World,"Jenny Preece,Jonathan Lazar",2007,"User Interfaces in the Real WorldJenny Preece,Jonathan Lazar"
557,557,After Effects 5 (Diseno Y Creatividad),,2005,
558,558,Quick Start Publishing Music Online (Quick Start (Music Sales)),Paul Donnelley,2003,Quick Start Publishing Music Online (Quick Start (Music Sales))Paul Donnelley
559,559,"Ant Colony Optimization and Swarm Intelligence: 5th International Workshop, ANTS 2006, Brussels, Belgium, September 4-7, 2006, Proceedings (Lecture Notes in Computer Science)","Marco Dorigo,Luca Maria Gambardella,Mauro Birattari,Alcherio Martinoli,Riccardo Poli,Thomas Stützle",2006,"Ant Colony Optimization and Swarm Intelligence: 5th International Workshop, ANTS 2006, Brussels, Belgium, September 4-7, 2006, Proceedings (Lecture Notes in Computer Science)Marco Dorigo,Luca Maria Gambardella,Mauro Birattari,Alcherio Martinoli,Riccardo Poli,Thomas Stützle"
560,560,Analysing User Needs And Early Design,Martin Maguire,2006,Analysing User Needs And Early DesignMartin Maguire
561,561,Directory of Special Libraries and Information Centers (Directory of Special Libraries and Information Centers Vol 1),,2004,
562,562,Create Electronic Presentations Powerpoint 2003,"Cheryl Price,Julia Wix",2004,"Create Electronic Presentations Powerpoint 2003Cheryl Price,Julia Wix"
563,563,Introductory Korn Shell Programming,Ryan T. Putnam,2005,Introductory Korn Shell ProgrammingRyan T. Putnam
564,564,Lemony Snicket's A Series of Unfortunate Events Official Strategy Guide,Dan Birlew,2004,Lemony Snicket's A Series of Unfortunate Events Official Strategy GuideDan Birlew
565,565,Windows Admin Scripting (Little Black Books (Paraglyph Press)),Jesse M. Torres,2006,Windows Admin Scripting (Little Black Books (Paraglyph Press))Jesse M. Torres
566,566,PSpice for Linear Circuits (uses PSpice version 10),James A. Svoboda,2007,PSpice for Linear Circuits (uses PSpice version 10)James A. Svoboda
567,567,"A Review of Statistical Approaches to Level Set Segmentation: Integrating Color, Texture, Motion and Shape","Daniel Cremers,Mikael Rousson,Rachid Deriche",2007,"A Review of Statistical Approaches to Level Set Segmentation: Integrating Color, Texture, Motion and ShapeDaniel Cremers,Mikael Rousson,Rachid Deriche"
568,568,"Peachtree Complete 2006, Release 13.0 CD-ROM (Stand Alone)",Carol Yacht,2006,"Peachtree Complete 2006, Release 13.0 CD-ROM (Stand Alone)Carol Yacht"
569,569,Training Guide Microsoft Excel 2002,V.K. Jain,2002,Training Guide Microsoft Excel 2002V.K. Jain
570,570,Window Seat: The Art of Digital Photography & Creative Thinking,Julieanne Kost,2006,Window Seat: The Art of Digital Photography & Creative ThinkingJulieanne Kost
571,571,Microsoft Visual C# .Net,"John Sharp,Jon Jagger",2003,"Microsoft Visual C# .NetJohn Sharp,Jon Jagger"
572,572,"Flying Fox: Applying Visual FoxPro Reporting to Any Data, in Any Environment","Lisa Slater Nicholls,Colin Malcolm Nicholls",2006,"Flying Fox: Applying Visual FoxPro Reporting to Any Data, in Any EnvironmentLisa Slater Nicholls,Colin Malcolm Nicholls"
573,573,Easy PowerPoint 2003,Sherry Kinkoph,2003,Easy PowerPoint 2003Sherry Kinkoph
574,574,Walk to here: a voice driven animation system,"Z. Wang,M. van de Panne",2006,"Walk to here: a voice driven animation systemZ. Wang,M. van de Panne"
575,575,Informational logic in knowledge representation and automated deduction,"Paola Forcheri,Paolo Gentilini,Maria Teresa Molfino",1999,"Informational logic in knowledge representation and automated deductionPaola Forcheri,Paolo Gentilini,Maria Teresa Molfino"
576,576,Book Description,Staff,1999,Book DescriptionStaff
577,577,Using RFID technologies to capture simulation data in a hospital emergency department,"Martin J. Miller,David M. Ferrin,Tanner Flynn,Marshall Ashby,K. Preston White, Jr.,Michael G. Mauer",2006,"Using RFID technologies to capture simulation data in a hospital emergency departmentMartin J. Miller,David M. Ferrin,Tanner Flynn,Marshall Ashby,K. Preston White, Jr.,Michael G. Mauer"
578,578,Welcome To Microsoft Excel 2003 (Sliver Series),Judy Mardar,2004,Welcome To Microsoft Excel 2003 (Sliver Series)Judy Mardar
579,579,A Real-Time CAM-Based Hough Transform Algorithm and Its Performance Evaluation,"M. Nakanishi,T. Ogura",1996,"A Real-Time CAM-Based Hough Transform Algorithm and Its Performance EvaluationM. Nakanishi,T. Ogura"
580,580,CompTIA Network+ Self-Study Guide (2nd Edition),Anthony V. Chiarella,2005,CompTIA Network+ Self-Study Guide (2nd Edition)Anthony V. Chiarella
581,581,"Essentials Enhanced Office XP Text, Fourth Edition","Dawn Wood,Marianne Fox,Lawrence C. Metzelaar,Linda Bird,Keith Mulbery,Larry Metzelaar",2003,"Essentials Enhanced Office XP Text, Fourth EditionDawn Wood,Marianne Fox,Lawrence C. Metzelaar,Linda Bird,Keith Mulbery,Larry Metzelaar"
582,582,"Barron's AP Computer Science, 2007-2008: Levels A and AB (Barron's How to Prepare for the Ap Computer Science Advanced Placement Examination)",Roselyn Teukolsky,2006,"Barron's AP Computer Science, 2007-2008: Levels A and AB (Barron's How to Prepare for the Ap Computer Science Advanced Placement Examination)Roselyn Teukolsky"
583,583,Friendly Macintosh (Friendly Computer Books),Kay Yarborou Nelson,1993,Friendly Macintosh (Friendly Computer Books)Kay Yarborou Nelson
584,584,ASP.Net 2.0 Black Book (Black Book (Paraglyph Press)),,2006,
585,585,Treffpunkt Deutsch: Elementary German (5th Edition),"Rosemarie E. Widmaier,Fritz T. Widmaier,Margaret Gonglewski",2007,"Treffpunkt Deutsch: Elementary German (5th Edition)Rosemarie E. Widmaier,Fritz T. Widmaier,Margaret Gonglewski"
586,586,Creating E-Portfolios Using PowerPoint: A Guide for Educators,"Kathleen Z. Montgomery,David A. Wiley",2004,"Creating E-Portfolios Using PowerPoint: A Guide for EducatorsKathleen Z. Montgomery,David A. Wiley"
587,587,Complexity at large,Staff,2007,Complexity at largeStaff
588,588,"Hacker, 2006 (La Biblia De / the Bible of...)","Abel Mariano Matas Garcia,Carlos Miguez Perez,Justo Perez Agudin,Fernando Picouto Ramos,Antonio Angel Ramos Varon",2005,"Hacker, 2006 (La Biblia De / the Bible of...)Abel Mariano Matas Garcia,Carlos Miguez Perez,Justo Perez Agudin,Fernando Picouto Ramos,Antonio Angel Ramos Varon"
589,589,Riding the Helix Express,Jan L. Harrington,1992,Riding the Helix ExpressJan L. Harrington
590,590,Spyware,"J. S. Yang,John S. Yang",2005,"SpywareJ. S. Yang,John S. Yang"
591,591,Extended Prelude to Programming (3rd Edition),"Stewart Venit,Elizabeth Drake",2006,"Extended Prelude to Programming (3rd Edition)Stewart Venit,Elizabeth Drake"
592,592,Toward harnessing user feedback for machine learning,"Simone Stumpf,Vidya Rajaram,Lida Li,Margaret Burnett,Thomas Dietterich,Erin Sullivan,Russell Drummond,Jonathan Herlocker",2007,"Toward harnessing user feedback for machine learningSimone Stumpf,Vidya Rajaram,Lida Li,Margaret Burnett,Thomas Dietterich,Erin Sullivan,Russell Drummond,Jonathan Herlocker"
593,593,Fotografia Digital 2003 (Diseno Y Creatividad),Juan Maria Sanchez Peral,2005,Fotografia Digital 2003 (Diseno Y Creatividad)Juan Maria Sanchez Peral
594,594,Machine learning algorithms for spatial data analysis and modelling,"Mikhail Kanevski,Vadim Timonin,Alexi Pozdnukhov",2007,"Machine learning algorithms for spatial data analysis and modellingMikhail Kanevski,Vadim Timonin,Alexi Pozdnukhov"
595,595,Access 2002 (Manuales Avanzados),Miguel Angel Martin Tardio,2005,Access 2002 (Manuales Avanzados)Miguel Angel Martin Tardio
596,596,"2004 4th Workshop on Applications and Services in Wireless Networks (Aswn): Boston, Ma, 9-11 August, 2004.",,2004,
597,597,"Applying Formal Methods: Testing, Performance, and M/E-Commerce: FORTE 2004 Workshops The FormEMC, EPEW, ITM, Toledo, Spain, October 1-2, 2004 (Lecture Notes in Computer Science)","Manuel Núnez,Zakaaria Maamar,Fernando Pelayo,Key Pousttchi,Fernando Rubio",2004,"Applying Formal Methods: Testing, Performance, and M/E-Commerce: FORTE 2004 Workshops The FormEMC, EPEW, ITM, Toledo, Spain, October 1-2, 2004 (Lecture Notes in Computer Science)Manuel Núnez,Zakaaria Maamar,Fernando Pelayo,Key Pousttchi,Fernando Rubio"
598,598,"How to Do Everything with Microsoft Office 2003, 1 edition",Laurie Ulrich,2003,"How to Do Everything with Microsoft Office 2003, 1 editionLaurie Ulrich"
599,599,BIOS Disassembly Ninjutsu Uncovered (Uncovered series),Darmawan Salihun,2006,BIOS Disassembly Ninjutsu Uncovered (Uncovered series)Darmawan Salihun
600,600,Konzepte siliziumbasierter MOS-Bauelemente (Halbleiter-Elektronik),Jörg Schulze,2007,Konzepte siliziumbasierter MOS-Bauelemente (Halbleiter-Elektronik)Jörg Schulze
601,601,Toy Commander (UK) (Prima's Official Strategy Guide),,2000,
602,602,Quantitative studies on the organizational structure of SME's: a case study of the pharmaceutical industry in China,"Linlin Cui,Jin Dong,Yueting Chai",2006,"Quantitative studies on the organizational structure of SME's: a case study of the pharmaceutical industry in ChinaLinlin Cui,Jin Dong,Yueting Chai"
603,603,Using Java method traces to automatically characterize and model J2EE server applications,"Darpan Dinker,Herb Schwetman",2006,"Using Java method traces to automatically characterize and model J2EE server applicationsDarpan Dinker,Herb Schwetman"
604,604,Special issue: Computational intelligence and information technology applications to industrial engineering selected papers from the 33 rd ICC&IE,,2006,
605,605,"Autonomous Intelligent Systems: Agents and Data Mining: International Workshop, AIS-ADM 2005 (Lecture Notes in Computer Science / Lecture Notes in Artificial Intelligence)","Vladimir Gorodetsky,Jiming Liu,Victor A. Skormin",2005,"Autonomous Intelligent Systems: Agents and Data Mining: International Workshop, AIS-ADM 2005 (Lecture Notes in Computer Science / Lecture Notes in Artificial Intelligence)Vladimir Gorodetsky,Jiming Liu,Victor A. Skormin"
606,606,Advancing Knowledge and the Knowledge Economy,"Brian Kahin,Dominique Foray",2006,"Advancing Knowledge and the Knowledge EconomyBrian Kahin,Dominique Foray"
607,607,Teach Yourself VISUALLY Macromedia Dreamweaver 8 (Teach Yourself Visually),Janine Warner,2006,Teach Yourself VISUALLY Macromedia Dreamweaver 8 (Teach Yourself Visually)Janine Warner
608,608,"Dawn of the eBay Deadbeats: True Tales of Treachery, Lies, and Fraud from the Dark Recesses of the World's Largest Online Auction Marketplace","Edward E. Klink,Stephen G. Klink",2005,"Dawn of the eBay Deadbeats: True Tales of Treachery, Lies, and Fraud from the Dark Recesses of the World's Largest Online Auction MarketplaceEdward E. Klink,Stephen G. Klink"
609,609,Design Guidelines For A Monitoring Environment Concerning Distributed Real-time Systems,Aida Omerovic,2004,Design Guidelines For A Monitoring Environment Concerning Distributed Real-time SystemsAida Omerovic
610,610,Gerenciando Projetos Via Web com o Microsoft Project Server 2002,"Jorge Linhares,Claudio Marcio Quartaroli,Jairo Vieira Cordeiro",2003,"Gerenciando Projetos Via Web com o Microsoft Project Server 2002Jorge Linhares,Claudio Marcio Quartaroli,Jairo Vieira Cordeiro"
611,611,Strategic Budgeting: A Computer Program for Strategic Budgeting and Performance Assessment,"Uffe Andersen,Gunnar Pall Thorisson,Bjorn Gunnar Karlsson",2001,"Strategic Budgeting: A Computer Program for Strategic Budgeting and Performance AssessmentUffe Andersen,Gunnar Pall Thorisson,Bjorn Gunnar Karlsson"
612,612,"PHP & MySQL: Your visual blueprint for creating dynamic, database-driven Web sites (Visual Read Less, Learn More)",Janet Valade,2006,"PHP & MySQL: Your visual blueprint for creating dynamic, database-driven Web sites (Visual Read Less, Learn More)Janet Valade"
613,613,Master VISUALLY Office 2003 (Master Visually),Michael S. Toot,2005,Master VISUALLY Office 2003 (Master Visually)Michael S. Toot
614,614,Solving Problems with Excel,Jerry J. Weygandt,2004,Solving Problems with ExcelJerry J. Weygandt
615,615,A domain-specific language for model coupling,"Tom Bulatewicz,Janice Cuny",2006,"A domain-specific language for model couplingTom Bulatewicz,Janice Cuny"
616,616,Pokemon Stadium 2: Prima's Official Strategy Guide,Elizabeth M. Hollinger,2001,Pokemon Stadium 2: Prima's Official Strategy GuideElizabeth M. Hollinger
617,617,Data Structures Through C in Depth,"S. K. Srivastava,Deepali Srivastava",2004,"Data Structures Through C in DepthS. K. Srivastava,Deepali Srivastava"
618,618,"Problem Solving in Chemical and Biochemical Engineering with POLYMATH, Excel, and MATLAB (2nd Edition) (Prentice Hall International Series in the Physical and Chemi)","Michael B. Cutlip,Mordechai Shacham",2007,"Problem Solving in Chemical and Biochemical Engineering with POLYMATH, Excel, and MATLAB (2nd Edition) (Prentice Hall International Series in the Physical and Chemi)Michael B. Cutlip,Mordechai Shacham"
619,619,Solutions Manual for Programming Language Fundamentals by Example,D. E. Stevenson,2006,Solutions Manual for Programming Language Fundamentals by ExampleD. E. Stevenson
620,620,Operating Systems,J. Randell,2003,Operating SystemsJ. Randell
621,621,1001 Computer Hints and Tips,,2005,
622,622,Director Multimedia Studio: Macromedia Shockwave : Official Macromedia Training (Macromedia Interactive Series),,1996,
623,623,The IBM Totalstorage Ds8000: Copy Services With IBM Z,,2006,
624,624,Master Guide for Glamour Photography: Digital Techniques and Images,Chris Nelson,2007,Master Guide for Glamour Photography: Digital Techniques and ImagesChris Nelson
625,625,Flash Memory Technologies: A Comprehensive Guide to Understanding and Using Flash Memory Devices (IEEE Press Series on Microelectronic Systems),Joseph E. Brewer,2006,Flash Memory Technologies: A Comprehensive Guide to Understanding and Using Flash Memory Devices (IEEE Press Series on Microelectronic Systems)Joseph E. Brewer
626,626,Aimready,"Raf Guidobono,Andrea Dojmi",2005,"AimreadyRaf Guidobono,Andrea Dojmi"
627,627,Maximum PC 2006 Guide to Building a Dream PC,Will Smith,2005,Maximum PC 2006 Guide to Building a Dream PCWill Smith
628,628,Signposts in Cyberspace: The Domain Name System And Internet Navigation,,2005,
629,629,Bundle Companion Microsoft Office 4.3 for the Macintosh Professional,,1998,
630,630,Introducing & Implementing Autodesk Revit Building,"Lay Christopher Fox,James J Balding",2005,"Introducing & Implementing Autodesk Revit BuildingLay Christopher Fox,James J Balding"
631,631,Applications of Process Algebra (Cambridge Tracts in Theoretical Computer Science),J. C. M. Baeten,2004,Applications of Process Algebra (Cambridge Tracts in Theoretical Computer Science)J. C. M. Baeten
632,632,Exploring Brief Office XP,Robert T. Grauer,2002,Exploring Brief Office XPRobert T. Grauer
633,633,SOULCALIBUR III Official Fighter's Guide (Signature),,2005,
634,634,"Ubuntu Hacks: Tips & Tools for Exploring, Using, and Tuning Linux (Hacks)","Jonathan Oxer,Kyle Rankin,Bill Childers",2006,"Ubuntu Hacks: Tips & Tools for Exploring, Using, and Tuning Linux (Hacks)Jonathan Oxer,Kyle Rankin,Bill Childers"
635,635,"MCTS SQL Server 2005 Implementation Maintenance Study Guide (Exam 70-431), 3 edition",Tom Carpenter,2007,"MCTS SQL Server 2005 Implementation Maintenance Study Guide (Exam 70-431), 3 editionTom Carpenter"
636,636,Type Selector,Michael Worgotter,2006,Type SelectorMichael Worgotter
637,637,Microsoft Office Project 2007 Inside Out,T. Stover,2007,Microsoft Office Project 2007 Inside OutT. Stover
638,638,Co-operative Internet Learning,"William Coughlan, Jr.",2006,"Co-operative Internet LearningWilliam Coughlan, Jr."
639,639,PC Pest Control: Protect Your Computers from Malicious Internet Invaders,Preston Gralla,2005,PC Pest Control: Protect Your Computers from Malicious Internet InvadersPreston Gralla
640,640,Java How to Program (7th Edition),,2006,
641,641,The Ithaqua Cycle: The Wind-Walker of the Icy Wastes (Call of Cthulhu Fiction),"James Ambuehl,Blackwood Algernon,Joseph Payne Brennan,Pierre Comtois,August Derleth,George C. Diezel, II,George Allen England,Gordon Linzner,Brian Lumley,Randy Medoff",1999,"The Ithaqua Cycle: The Wind-Walker of the Icy Wastes (Call of Cthulhu Fiction)James Ambuehl,Blackwood Algernon,Joseph Payne Brennan,Pierre Comtois,August Derleth,George C. Diezel, II,George Allen England,Gordon Linzner,Brian Lumley,Randy Medoff"
642,642,Design of a shopbot and recommender system for bundle purchases,"Robert Garfinkel,Ram Gopal,Arvind Tripathi,Fang Yin",2006,"Design of a shopbot and recommender system for bundle purchasesRobert Garfinkel,Ram Gopal,Arvind Tripathi,Fang Yin"
