index,title,author,year
569,Training Guide Microsoft Excel 2002,V.K. Jain,2002
570,Window Seat: The Art of Digital Photography & Creative Thinking,Julieanne Kost,2006
571,Microsoft Visual C# .Net,"John Sharp,Jon Jagger",2003
572,"Flying Fox: Applying Visual FoxPro Reporting to Any Data, in Any Environment","Lisa Slater Nicholls,Colin Malcolm Nicholls",2006
573,Easy PowerPoint 2003,Sherry Kinkoph,2003
574,Walk to here: a voice driven animation system,"Z. Wang,M. van de Panne",2006
575,Informational logic in knowledge representation and automated deduction,"Paola Forcheri,Paolo Gentilini,Maria Teresa Molfino",1999
576,Book Description,Staff,1999
577,Using RFID technologies to capture simulation data in a hospital emergency department,"Martin J. Miller,David M. Ferrin,Tanner Flynn,Marshall Ashby,K. Preston White, Jr.,Michael G. Mauer",2006
578,Welcome To Microsoft Excel 2003 (Sliver Series),Judy Mardar,2004
579,A Real-Time CAM-Based Hough Transform Algorithm and Its Performance Evaluation,"M. Nakanishi,T. Ogura",1996
580,CompTIA Network+ Self-Study Guide (2nd Edition),Anthony V. Chiarella,2005
581,"Essentials Enhanced Office XP Text, Fourth Edition","Dawn Wood,Marianne Fox,Lawrence C. Metzelaar,Linda Bird,Keith Mulbery,Larry Metzelaar",2003
582,"Barron's AP Computer Science, 2007-2008: Levels A and AB (Barron's How to Prepare for the Ap Computer Science Advanced Placement Examination)",Roselyn Teukolsky,2006
583,Friendly Macintosh (Friendly Computer Books),Kay Yarborou Nelson,1993
584,ASP.Net 2.0 Black Book (Black Book (Paraglyph Press)),,2006
585,Treffpunkt Deutsch: Elementary German (5th Edition),"Rosemarie E. Widmaier,Fritz T. Widmaier,Margaret Gonglewski",2007
586,Creating E-Portfolios Using PowerPoint: A Guide for Educators,"Kathleen Z. Montgomery,David A. Wiley",2004
587,Complexity at large,Staff,2007
588,"Hacker, 2006 (La Biblia De / the Bible of...)","Abel Mariano Matas Garcia,Carlos Miguez Perez,Justo Perez Agudin,Fernando Picouto Ramos,Antonio Angel Ramos Varon",2005
589,Riding the Helix Express,Jan L. Harrington,1992
590,Spyware,"J. S. Yang,John S. Yang",2005
591,Extended Prelude to Programming (3rd Edition),"Stewart Venit,Elizabeth Drake",2006
592,Toward harnessing user feedback for machine learning,"Simone Stumpf,Vidya Rajaram,Lida Li,Margaret Burnett,Thomas Dietterich,Erin Sullivan,Russell Drummond,Jonathan Herlocker",2007
593,Fotografia Digital 2003 (Diseno Y Creatividad),Juan Maria Sanchez Peral,2005
594,Machine learning algorithms for spatial data analysis and modelling,"Mikhail Kanevski,Vadim Timonin,Alexi Pozdnukhov",2007
595,Access 2002 (Manuales Avanzados),Miguel Angel Martin Tardio,2005
596,"2004 4th Workshop on Applications and Services in Wireless Networks (Aswn): Boston, Ma, 9-11 August, 2004.",,2004
597,"Applying Formal Methods: Testing, Performance, and M/E-Commerce: FORTE 2004 Workshops The FormEMC, EPEW, ITM, Toledo, Spain, October 1-2, 2004 (Lecture Notes in Computer Science)","Manuel Núnez,Zakaaria Maamar,Fernando Pelayo,Key Pousttchi,Fernando Rubio",2004
598,"How to Do Everything with Microsoft Office 2003, 1 edition",Laurie Ulrich,2003
599,BIOS Disassembly Ninjutsu Uncovered (Uncovered series),Darmawan Salihun,2006
600,Konzepte siliziumbasierter MOS-Bauelemente (Halbleiter-Elektronik),Jörg Schulze,2007
601,Toy Commander (UK) (Prima's Official Strategy Guide),,2000
602,Quantitative studies on the organizational structure of SME's: a case study of the pharmaceutical industry in China,"Linlin Cui,Jin Dong,Yueting Chai",2006
603,Using Java method traces to automatically characterize and model J2EE server applications,"Darpan Dinker,Herb Schwetman",2006
604,Special issue: Computational intelligence and information technology applications to industrial engineering selected papers from the 33 rd ICC&IE,,2006
605,"Autonomous Intelligent Systems: Agents and Data Mining: International Workshop, AIS-ADM 2005 (Lecture Notes in Computer Science / Lecture Notes in Artificial Intelligence)","Vladimir Gorodetsky,Jiming Liu,Victor A. Skormin",2005
606,Advancing Knowledge and the Knowledge Economy,"Brian Kahin,Dominique Foray",2006
607,Teach Yourself VISUALLY Macromedia Dreamweaver 8 (Teach Yourself Visually),Janine Warner,2006
608,"Dawn of the eBay Deadbeats: True Tales of Treachery, Lies, and Fraud from the Dark Recesses of the World's Largest Online Auction Marketplace","Edward E. Klink,Stephen G. Klink",2005
609,Design Guidelines For A Monitoring Environment Concerning Distributed Real-time Systems,Aida Omerovic,2004
610,Gerenciando Projetos Via Web com o Microsoft Project Server 2002,"Jorge Linhares,Claudio Marcio Quartaroli,Jairo Vieira Cordeiro",2003
611,Strategic Budgeting: A Computer Program for Strategic Budgeting and Performance Assessment,"Uffe Andersen,Gunnar Pall Thorisson,Bjorn Gunnar Karlsson",2001
612,"PHP & MySQL: Your visual blueprint for creating dynamic, database-driven Web sites (Visual Read Less, Learn More)",Janet Valade,2006
613,Master VISUALLY Office 2003 (Master Visually),Michael S. Toot,2005
614,Solving Problems with Excel,Jerry J. Weygandt,2004
615,A domain-specific language for model coupling,"Tom Bulatewicz,Janice Cuny",2006
616,Pokemon Stadium 2: Prima's Official Strategy Guide,Elizabeth M. Hollinger,2001
617,Data Structures Through C in Depth,"S. K. Srivastava,Deepali Srivastava",2004
618,"Problem Solving in Chemical and Biochemical Engineering with POLYMATH, Excel, and MATLAB (2nd Edition) (Prentice Hall International Series in the Physical and Chemi)","Michael B. Cutlip,Mordechai Shacham",2007
619,Solutions Manual for Programming Language Fundamentals by Example,D. E. Stevenson,2006
620,Operating Systems,J. Randell,2003
621,1001 Computer Hints and Tips,,2005
622,Director Multimedia Studio: Macromedia Shockwave : Official Macromedia Training (Macromedia Interactive Series),,1996
623,The IBM Totalstorage Ds8000: Copy Services With IBM Z,,2006
624,Master Guide for Glamour Photography: Digital Techniques and Images,Chris Nelson,2007
625,Flash Memory Technologies: A Comprehensive Guide to Understanding and Using Flash Memory Devices (IEEE Press Series on Microelectronic Systems),Joseph E. Brewer,2006
626,Aimready,"Raf Guidobono,Andrea Dojmi",2005
627,Maximum PC 2006 Guide to Building a Dream PC,Will Smith,2005
628,Signposts in Cyberspace: The Domain Name System And Internet Navigation,,2005
629,Bundle Companion Microsoft Office 4.3 for the Macintosh Professional,,1998
630,Introducing & Implementing Autodesk Revit Building,"Lay Christopher Fox,James J Balding",2005
631,Applications of Process Algebra (Cambridge Tracts in Theoretical Computer Science),J. C. M. Baeten,2004
632,Exploring Brief Office XP,Robert T. Grauer,2002
633,SOULCALIBUR III Official Fighter's Guide (Signature),,2005
634,"Ubuntu Hacks: Tips & Tools for Exploring, Using, and Tuning Linux (Hacks)","Jonathan Oxer,Kyle Rankin,Bill Childers",2006
635,"MCTS SQL Server 2005 Implementation Maintenance Study Guide (Exam 70-431), 3 edition",Tom Carpenter,2007
636,Type Selector,Michael Worgotter,2006
637,Microsoft Office Project 2007 Inside Out,T. Stover,2007
638,Co-operative Internet Learning,"William Coughlan, Jr.",2006
639,PC Pest Control: Protect Your Computers from Malicious Internet Invaders,Preston Gralla,2005
640,Java How to Program (7th Edition),,2006
641,The Ithaqua Cycle: The Wind-Walker of the Icy Wastes (Call of Cthulhu Fiction),"James Ambuehl,Blackwood Algernon,Joseph Payne Brennan,Pierre Comtois,August Derleth,George C. Diezel, II,George Allen England,Gordon Linzner,Brian Lumley,Randy Medoff",1999
642,Design of a shopbot and recommender system for bundle purchases,"Robert Garfinkel,Ram Gopal,Arvind Tripathi,Fang Yin",2006
643,Emerging Spatial Information Systems and Applications,Brian N. Hilton,2007
644,CASPAR: a hierarchical Bayesian approach to predict survival times in cancer from gene expression data,,2007
645,SAS/ACCESS 9.1 Interface To CA-Datacom/DB: Reference,,2004
646,Soft Computing: Methodologies and Applications (Advances in Soft Computing) (Advances in Soft Computing),"Frank Hoffmann,Mario Köppen,Frank Klawonn,Rajkumar Roy",2005
647,ExamInsight For MCP/MCSE 70-290 Certification: Managing and Maintaining a Microsoft Windows Server 2003 Environment,Jada Brock-Soldavini,2004
648,Unix for Dummies,,2004
649,British Computer Society Unit E,"Denise O'Connor,John Brennan",2004
650,Study of domestic refining: petrochemical industry energy feedstock interactions,John S. Bonner,1977
651,Directory of Law-Related Cd-Roms 1998,Arlene L. Eis,1998
652,Abstracts from math programming symposium,Michael Grigoriadis,1974
653,A simulation-based approach to trade-off analysis of port security,"Junko Sekine,Enrique Campos-Náñnez,John R. Harrald,Hernán Abeledo",2006
654,Color Desktop Printer Technology (Optical Engineering),"Noboru Ohta,Mitchell Rosen",2006
655,"Computational Linguistics and Intelligent Text Processing: 7th International Conference, CICLing 2006, Mexico City, Mexico, February 19-25, 2006, Proceedings (Lecture Notes in Computer Science)",Alexander Gelbukh,2006
656,CD-ROM Finder,James Shelton,1993
657,Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005 (Prima Official Game Guide),Kenneth Miller,2005
658,Presenting Keynote: The Insider's Guide to Creating Great Presentations,Erik Holsinger,2003
659,Gaining insight into unfamiliar contexts: A design toolbox as input for using role-play techniques,"J. Rodríguez,J. C. Diehl,H. Christiaans",2006
660,The Unauthorized Halo 2 Battle Guide: Advanced Combat Techniques (Premier Press Game Development (Paperback)),Stephen Cawood,2004
661,Herramientas Informaticas Para Psicologos,Horacio Gaito,2005
662,Working Among Programmers: A Field Guide to the Software World,Bruce Taylor,2006
663,Apple Final Cut Pro 4 (Español) VTC Training CD,Nathan Haggard,2006
664,Unsupervised and supervised machine learning in user modeling for intelligent learning environments,"Saleema Amershi,Cristina Conati",2007
665,Mystery Fossil: A Physical Anthropology Laboratory Exercise for the Macintosh,John T. Omohundro,1993
666,Autocad 2007 Tutor for Engineering Graphics,Alan J. Kalameja,2006
667,DB2 9 for Developers,Philip K. Gunning,2007
668,E-Learning Games: Interactive Strategies for Digital Delivery (Neteffect Series),Kathleen M. Iverson,2004
669,"Internet Medical Guidebook & CD, Sixth Edition","Colleen Lindell,K. Chew,William R. Hersh",2004
670,Developing More-Secure Microsoft ASP.NET 2.0 Applications (Pro Developer),Dominick Baier,2006
671,"Mathematical Knowledge Management: 5th International Conference, MKM 2006, Wokingham, UK, August 11-12, 2006, Proceedings (Lecture Notes in Computer Science)","Jonathan M. Borwein,William M. Farmer",2006
672,Animacion Con 3ds Max (Diseno Y Creatividad),,2006
673,Introduction to Microsoft Works/MacIntosh Version,Martha Krieg,1990
674,Essential Digital Manipulation Manual for Photographers,Mike Crawford,2006
675,Understanding and Using Linear Programming (Universitext),"Jirí Matouek,Bernd Gärtner",2006
676,Java for Bioinformatics and Biomedical Applications,"Harshawardhan Bal,Johnny Hujol",2006
677,LB Brief (3rd Edition),Jane E. Aaron,2007
678,GO! with MicrosoftOffice Word 2003- Comprehensive (Go! with Microsoft Office),"Shelley Gaskin,Sally Preston,John Preston,Robert Ferrett",2004
679,Expert Visual C++/CLI (Expert),Marcus Heege,2007
680,Geometrical strengthening and tip-sharpening of a microneedle array fabricated by X-ray lithography,"Sommawan Khumpuang,Mitsuhiro Horade,Kazuya Fujioka,Susumu Sugiyama",2006
681,High-capacity image hiding scheme based on vector quantization,Yu-Chen Hu,2006
682,Microsoft Windows SharePoint Services Inside Out,Jim Buyens,2005
683,Programming Visual Basic 2005,Jesse Liberty,2005
684,Achieving ISO/IEC 20000 - Why People Matter,"Jenny Dugmore,Shirley Lacy",2006
685,"Systems Biology and Regulatory Genomics: Joint Annual RECOMB 2005 Satellite Workshops on Systems Biology and on Regulatory Genomics, San Diego, CA, USA, ... Papers (Lecture Notes in Computer Science)","Eleazar Eskin,Trey Ideker,Ben Raphael,Christopher Workman",2007
686,"A 1000-word vocabulary, speaker-independent, continuous live-mode speech recognizer implemented in a single FPGA","Edward C. Lin,Kai Yu,Rob A. Rutenbar,Tsuhan Chen",2007
687,Flash Mx. Animacion (Diseno Y Creatividad),Sandro Corsaro,2005
688,Googleonomics,Nate Perkins,2006
689,"Secret Codes, 2006 (Volume 1)",,2006
690,Unix Fur Dummies,"John R. Levine,Margaret Levine Young,Harald H.-J. Bongartz,Karin Diler-Manning",2006
691,QuarkXPress to InDesign: Face to Face,Galen Gruman,2005
692,Successful ICT Projects in FrontPage 2000 (Successful ICT Projects),Robert Samuel Heathcote,2005
693,Puzzles for Programmers and Pros,Dennis Shasha,2007
694,Notes from recent meetings: a review of the SIGPLAN/SIGMICRO interface meeting,Stanley Habib,1973
695,Modeling contention of sparse-matrix-vector multiplication (SMV) in three parallel programming paradigms,"Ahmed Sameh,Tarek El-Ghazawi,Yesha Yacoov",2007
696,AUTOCAD 2007,George Omura,2006
697,Composing with MacWrite,Margaret Morrison,1989
698,"Linux Bible, 2005 Edition",Christopher Negus,2005
699,Interactive Science Encyclopedia CD-ROM Lab Packs: Macintosh with Book(s) (Science Encyclopedia CD-ROM),,2000
700,Antarctica (Continents),Leila Merrell Foster,2006
701,Novell Identity Manager Administrator's Handbook,"Steve Weitzell,Richard Matheson,Perry Nuffer,Lee Lowry,Volker Scheuber",2006
702,The MacIntosh Bible Super Combo/2 Books and 2 Software Disks,Arthur Naiman,1992
703,C# Programming,G Khadanga,2004
704,An extended minimax disparity to determine the OWA operator weights,"Gholam R. Amin,Ali Emrouznejad",2006
705,Moderne Prozessorarchitekturen: Prinzipien und ihre Realisierungen,Matthias Menge,2007
706,A Primer of Textual Geometry,Vinton A. Dearing,2006
707,Inventory Optimization with SAP,Marc Hoppe,2006
708,Mechwarrior Domination Booster Pack (Battle Tech/Mech Warrior),,2006
709,Community Visions: Macintosh,,1998
710,Emotion representation and physiology assignments in digital systems,"Christian Peter,Antje Herbon",2006
711,Clustered multicarrier systems for very wideband wireless communications -- Dissertation,Mani Kishore Vajipeyajula,2006
712,iPod and iTunes QuickSteps (Quicksteps),"Eliot Van Buskirk,John Alderman",2005
713,Diplomacy: Prima's Official Strategy Guide,"Michael Knight,Rex Martin",1999
714,The Comphrensive NCLEX-PN Review(Book w/CD-ROM),Patricia A. Hoefler,1998
715,On transforming statistical models for non-frontal face verification,"Conrad Sanderson,Samy Bengio,Yongsheng Gao",2006
716,Practical Data Migration,John Morris,2006
717,"Wireless Algorithms, Systems, and Applications: First International Conference, WASA 2006, Xi'an, China, August 15-17, 2006, Proceedings (Lecture Notes in Computer Science)","Xiuzhen Cheng,Wei Li,Taieb Znati",2007
718,"Professional Ajax, 2nd Edition","Nicholas C. Zakas,Jeremy McPeak,Joe Fawcett",2007
719,Crimson Tears(tm) Official Strategy Guide,Laura Parkinson,2004
720,Spyware Essentials,,2005
721,Microsoft Windows Communication Foundation: Hands-on,"Craig McMurtry,Marc Mercuri,Nigel Watling",2006
722,Illustrator 5.5 Training (Training on CD),,1996
723,Colette Urban: Recalling Belvedere,"R. Bean,C. O'Neill",2006
724,CompTIA A+ Complete Fast Pass,Emmett Dulaney,2006
725,Database Support for Data Mining Applications: Discovering Knowledge with Inductive Queries (Lecture Notes in Computer Science),"Rosa Meo,Pier L. Lanzi,Mika Klemettinen",2004
726,Running QuickBooks 2007 Premier Editions: The Only Comprehensive Guide to the Premier Editions,Kathy Ivens,2006
727,"Self-Managed Networks, Systems, and Services: Second IEEE International Workshops, SelfMan 2006, Dublin, Ireland, June 16, 2006, Proceedings (Lecture Notes in Computer Science)","Alexander Keller,Jean-Philippe Martin-Flatin",2006
728,KeyX: Selective Key-Oriented Indexing in Native XML-Databases: Volume 93 Dissertations in Database and Information Systems - Infix,Beda Christoph Hammerschmidt,2006
729,Artificial Intelligence Applications and Innovations II: Second IFIP TC12 and WG12.5 Conference on Artificial Intelligence Applications and Innovations ... Federation for Information Processing),"Daoliang Li,Baoji Wang",2005
730,All You Need to Know About Music & the Internet Revolution,Conrad Mewton,2005
731,Web Site Cookbook (Cookbooks (O'Reilly)),Doug Addison,2006
732,Software Engineering Techniques: Design for Quality (IFIP International Federation for Information Processing),Krzysztof Sacha,2006
733,Learning Theory: An Approximation Theory Viewpoint (Cambridge Monographs on Applied & Computational Mathematics),"Felipe Cucker,Ding Xuan Zhou",2007
734,Plunkett's Infotech Industry Almanac 2006: The Only Comprehensive Guide to InfoTech Companies and Trends,Jack W. Plunkett,2006
735,Build a Business Process Solution Using Rational And Websphere Tools,,2006
736,Notebooks Fur Dummies,"Dan Gookin,Sabine Lambrich",2006
737,Neo-Photo,,2006
738,Drawing & Detailing with SolidWorks 2006,"David C. Planchard,Marie P. Planchard",2006
739,Larryboy and the Bad Apple (VeggieTales (Video Game)),,2006
740,Microsoft Entourage 2004 for Mac OS X (Visual QuickStart Guide),Steve Schwartz,2004
741,Parallel Computational Fluid Dynamics 2005: Theory and Applications,"A. Deane,Gunther Brenner,A. Ecer,David R. Emerson,James McDonough,J. Periaux,N. Satofuka,Damien Tromeur-Dervout",2006
742,A Midsummer Night's Dream (Arkangel Complete Shakespeare),"William Shakespeare,Roy Hudd,Amanda Root,Arkangel Cast",2005
743,"Complete Guide to Anime Techniques: Create Mesmerizing Manga-style Animation with Pencils, Paint, and Pixels","Hayden Scott Baron,Chris Patmore,Chi Hang Li",2006
744,"Database, protocols and tools for evaluating score-level fusion algorithms in biometric authentication","Norman Poh,Samy Bengio",2006
745,"A first&dash;order representation of stable models[1]A preliminary version of this paper has appeared in&colon; Proc. 4th International Conference on Logic Programming and Nonmonotonic Reasoning (LPNMR &rsquo;97), J. Dix, U. Furbach and A. Nerode, eds, LNCS 1265, Springer, 1997.","Thomas Eiter,James Lu,V. S. Subrahmanian",1998
746,"MySQL, Second Edition (Visual QuickStart Guide)",Larry Ullman,2006
747,Hi Ho Librario!,Judy Freeman,1997
748,Autonomous Grouping of Contour-Segments Using an Adaptive Region-Growing Algorithm,"E. J. Pauwels,P. Fiddelaers,L. J. Van Gool",1996
749,Rapid Prototyping of Digital Systems: Quartus® II Edition,"James O. Hamblen,Tyson S. Hall,Michael D. Furman",2005
750,Excel 2003 (La Biblia De / the Bible of),Patrick Blattner,2005
751,3D discrete skeleton generation by wave propagation on PR-octree for finite element mesh sizing,"W. R. Quadros,K. Shimada,S. J. Owen",2004
752,Versus Books Official Perfect Guide for Grandia Xtreme,,2002
753,Development of a runtime infrastructure for large-scale distributed simulations,"Buquan Liu,Yiping Yao,Jing Tao,Huaimin Wang",2006
754,Algorithms and Complexity in Durham 2006: Proceedings of the Second ACiD Workshop,"H. Broersma,S. Dantchev,M. Johnson",2006
755,GarageBand: The Missing Manual (Missing Manuals),David Pogue,2004
756,USA (World in Focus),Sally Garrington,2006
757,"Digitale Bildauflösung: Grundlagen, Auflösungsbestimmung, Anwendungsbeispiele (X.Media.Press)",Thomas Waldraff,2006
758,Elsevier's Dictionary of Aquaculture,Cheryl E. Marx,1997
759,Secure Electronic Commerce: Custom Vc Online,"Ford,Baum",2006
760,Transactions on Computational Systems Biology V (Lecture Notes in Computer Science),"Tony Hu,Yi Pan,Tsau Young Lin,C. Priami",2006
761,The Pocket Idiot's Guide to Satellite Radio (The Complete Idiot's Guide),Damon Brown,2006
762,"Practice of Business Statistics w/CD, & Excel Manual w/CD",David S. Moore,2004
763,ADO.NET 2.0 Cookbook (Cookbooks (O'Reilly)),Bill Hamilton,2007
764,XQuery,Priscilla Walmsley,2007
765,"Aprendiendo PC Office Total: Curso Completo de Microsoft Office XP, en Español / Spanish",M. P. Ediciones,2004
766,Introducing Maya 6: 3D for Beginners,Dariush Derakhshani,2004
767,"Wired/Wireless Internet Communications: 4th International Conference, WWIC 2006, Bern, Switzerland, May 10-12, 2006, Proceedings (Lecture Notes in Computer Science)","Thomas Braun,Georg Carle,Sonia Fahmy,Yevgeni Koucheryavy",2006
768,Multi-path TCP: a joint congestion control and routing scheme to exploit path diversity in the internet,"Huaizhong Han,Srinivas Shakkottai,C. V. Hollot,R. Srikant,Don Towsley",2006
769,Unreal Tournament: Official Strategy Guide,,1999
770,Virtual Enterprises and Collaborative Networks (IFIP International Federation for Information Processing),Luis M. Camarinha-Matos,2004
771,Photoshop 6 (Diseno Y Creatividad),,2005
772,Medieval II: Total War Official Strategy Guide (Official Strategy Guides (Bradygames)),,2006
773,Information Security Fundamentals On-line Self-study Course,"Thomas R. Peltier,Justin Peltier,John A. Blackley",2005
774,Solaris 10 System Administration,Bill Calkins,2006
775,"Programming Languages and Systems: 4th Asian Symposium, APLAS 2006, Sydney, Australia, November 8-10, 2006, Proceedings (Lecture Notes in Computer Science)",Naoki Kobayashi,2006
776,Metrics for evaluating human information interaction systems,Jean Scholtz,2006
777,AutoCAD 2006-2007 - Avanzado,Jose Antonio Tajadura Zapirain,2006
778,An independent component analysis-based filter design for defect detection in low-contrast surface images,"Du-Ming Tsai,Ping-Chieh Lin,Chi-Jie Lu",2006
779,"StataQuest, Release 2","Theodore J. Anagnoson,Richard E. Deleon",1994
780,"Networks: Internet, Telephony, Multimedia","Daniel Hardy,Guy Malleus,Jean-Noel Mereur",2003
781,"Multimedia Signal Processing: Theory and Applications in Speech, Music and Communications",Saeed V. Vaseghi,2007
782,"Oracle Database 10g Express Edition PHP Web Programming, 1 edition",Michael McLaughlin,2006
783,A Roadmap for Formal Property Verification,Pallab Dasgupta,2006
784,Digimon World (UK),,2001
785,Faith Under Fire 2 Faith & Facts Participant's Guide (ZondervanGroupware Small Group Edition),"Lee Strobel,Garry Poole",2006
786,Visual Web Developer 2005 Express Edition Fur Dummies (Fur Dummies S.),"Alan Simpson,Meinhard Schmidt",2006
787,Mixed-Signal Simulation with the Simbus Backplane,"Douglas R. Hickey,Philip A. Wilsey,Robert J. Hoekstra,Eric R. Keiter,Scott A. Hutchinson,Thomas V. Russo",2006
788,Wireless Mesh Networks (Advanced Texts in Communications and Networking),"Ian Akyildiz,Xudong Wang",2007
789,"Formal Methods for Components and Objects: 4th International Symposium, FMCO 2005, Amsterdam, The Netherlands, November 1-4, 2005, Revised Lectures (Lecture Notes in Computer Science)","Frank S. de Boer,Marcello M. Bonsangue,Susanne Graf,Willem-Paul de Roever",2006
790,Manipula Tus Fotografias Digitales Con Photoshop Cs2/ the Photoshop Cs2 Book for Digital Photographers,Scott Kelby,2005
791,Rejection strategies for offline handwritten text line recognition,"Roman Bertolami,Matthias Zimmermann,Horst Bunke",2006
792,Silent Hill 4: The Room Official Strategy Guide (Signature),,2004
793,Spatial join techniques,"Edwin H. Jacox,Hanan Samet",2007
794,Nintendo GameCube Collection: Luigi's Mansion / Super Smash Bros. Melee / Wave Race Blue Storm / Pikmin (Prima's Official Strategy Guide),David Cassady,2002
795,Dominando Linux Firewall Iptables,Urubatan Neto,2004
796,"Parallel Processing and Applied Mathematics: 5th International Conference, PPAM 2003, Czestochowa, Poland, September 7-10, 2003. Revised Papers (Lecture Notes in Computer Science)","Roman Wyrzykowski,Jack Dongarra,Marcin Paprzycki,Jerzy Wasniewski",2004
797,A level set approach to simulate magnetohydrodynamic-instabilities in aluminum reduction cells,"David Munger,Alain Vincent",2006
798,Simulation of job scheduling for small scale clusters,"Hassan Rajaei,Mohammad Dadfar,Pankaj Joshi",2006
799,Writing computer-based instruction with HyperStudio,William R. Higgins,1998
800,"Holy Macro! It's 2,500 Excel VBA Examples: Every Snippet of Excel VBA Code You'll Ever Need","Hans Herber,Bill Jelen,Tom Urtis",2006
801,CCIE Practical Studies: Security (CCIE Self-Study),"Dmitry Bokotey,Andrew Mason,Raymond Morrow",2003
802,PMP Exam Success Series: Certification Study Pack (3rd Ed. PMBOK Guide Based),Tony Johnson,2005
803,Design approach to implement implicit traffic in a simulation environment,"Charles A. Brooks,Aaron Chesir,Erica Lindy,Jon A. McConnell,Monica Farah-Stapleton",2006
804,"Windows XP, Brief Volume (SELECT Series)",Richard A. McMahon,2002
805,"The Official eBaby Bible, Third Edition: The Newly Revised and Updated Version of the Most Comprehensive eBay How-To Manual for Everyone from First-Time Users to eBay Experts",Jim Griffith,2007
806,IBM System Z9 109 Configuration Setup,,2006
807,A life with computers,J. Richard Swenson,2006
808,System Analyst and Design with Uml with Visible an Alyst and Microsoft Project 2002 Set,,2003
809,Exploring Microsoft Office 2003 Enhanced Edition- Adhesive,"Robert T. Grauer,Maryann Barber",2005
810,Appleworkshop for Teachers,Janet Caughlin,2001
811,Video Production Workshop: DMA Series (DV Expert Series),Tom Wolsky,2005
812,Red Hat Linux 9 Unleashed,"Bill Ball,Hoyt Duff",2003
813,Implicit Meshes for Effective Silhouette Handling,"Slobodan Ilić,Mathieu Salzmann,Pascal Fua",2007
814,Applied Partial Differential Equations: : A Visual Approach,Peter A. Markowich,2006
815,"Struts: The Complete Reference, 2nd Edition, 2 edition",James Holmes,2006
816,MasteringActive Directory for WindowsServer 2003 R2 (Mastering),"Brad Price,John A. Price,Scott Fenstermacher",2006
817,Student Edition 1-80 with Office 2003 Student Manual,,2006
818,Sex Offenders and the Internet,"D. H. Howitt,Kerry Sheldon",2007
819,Efficient location area planning for personal communication systems,"Yigal Bejerano,Mark A. Smith,Joseph (Seffi) Naor,Nicole Immorlica",2006
820,"Microsoft SQL Server 2005: A Beginner''s Guide, 1 edition",Dusan Petkovic,2005
821,"Database and Expert Systems Applications: 15th International Conference, DEXA 2004Zaragoza, Spain, August 30-September 3, 2004, Proceedings (Lecture Notes in Computer Science)","Fernando Galindo,Makoto Takizawa,Roland Traunmüller",2004
822,Rapid Prototyping and Engineering Applications (Dekker Mechanical Engineering),Frank W. Liou,2007
823,Eloquent Images: Word and Image in the Age of New Media,"Mary E. Hocks,Michelle R. Kendrick",2005
824,"Special Issue on the DARPA Grand Challenge, Part 2",,2006
825,Introduction to Appleworks Gs/Book With 3.5 Disk,,1990
826,Logistic regression using covariates obtained by product-unit neural network models,"César Hervás-Martínez,Francisco Martínez-Estudillo",2007
827,Bildverarbeitung für die Medizin 2006: Algorithmen - Systeme - AnwendungenProceedings des Workshops vom 19. - 21. März 2006 in Hamburg (Informatik aktuell),"Heinz Handels,Jan Ehrhardt,Alexander Horsch,Hans-Peter Meinzer,Thomas Tolxdoff",2007
828,Supporting and Maintaining Windows 9x,,2003
829,N3: Ninety-Nine Nights (Prima Official Game Guide),Fernando Bueno,2006
830,IT security: in search of the Holy Grail,Rolf Oppliger,2007
831,Sams Teach Yourself MySQL in 10 Minutes (Sams Teach Yourself),Chris Newman,2006
832,"The Semantic Web: Research and Applications: 3rd European Semantic Web Conference, ESWC 2006Budva, Montenegro, June 11-14, 2006, Proceedings (Lecture Notes in Computer Science)","York Sure,John Domingue",2006
833,Neural Networks: Computational Models and Applications (Studies in Computational Intelligence),"Huajin Tang,Kay Chen Tan,Zhang Yi",2007
834,Windows Xp Optimizacion/ Windows Xp Power Optimization,John Paul Mueller,2006
835,Microsoft Office Excel 2003: Quick Course 1 (Briefcase Office 2003 Series),Judy Mardar,2004
836,An experimental seminar on microprogramming and emulation,Louise H. Jones,1974
837,Successful Strategies in Supply Chain Management,"Chi-Kin Chan,H. W. J. Lee",2005
838,Crafting and Executing Strategy: Text and Readings with OLC with Premium Content Card (Strategic Management: Concepts and Cases),"Arthur A. Thompson, Jr.,A. J. Strickland, III,John E. Gamble",2006
839,AJAX and PHP: Building Responsive Web Applications,"Cristian Darie,Bogdan Brinzarea",2006
840,MicroType Multimedia: CD-ROM Network: Macintosh,"Thomson South-Western Educational Publishing, d",1999
841,The Packaging Designer's Book of Patterns,"Lászlo Roth,George L. Wybenga",2005
842,"Computer And Intellectual Property Crime: Federal And State Law, 2005 Cumulative Supplement.",Scott A. Hugh,2005
843,Micro Java Games Development,"Roman Verhovsek,David Fox",2002
844,Financing Online Search Serv,,2006
845,Pro Tools Overdrive!,Matthew Donner,2005
846,Graphic Communication Higher SQA Past Papers,,2005
847,Dynamic Designs And P.a.s.s. Software,Warren,2004
848,Ornamental Initials CD-ROM and Book (Electronic Clip Art),,2000
849,Spline approximation of general volumetric data,"Christian Rössl,Frank Zeilfelder,Günther Nürnberger,Hans-Peter Seidel",2004
